url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.amazon.com.tr/Lenovo-7235HS-FreeDOS-Gaming-83JC00DXTR/dp/B0F8J7MPLJ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-2,"Lenovo LOQ Ryzen 5 7235HS, 24GB RAM, 512GB SSD, 15.6"" FHD 144Hz Ekran, RTX 3050 6GB GDDR6 95W, FreeDOS, Gaming Laptop,83JC00DXTR",26999.0,15.6,512.0,ryzen 5,24,FreeDOS,rtx3050
https://www.amazon.com.tr/HP-Diz%C3%BCst%C3%BC-Bilgisayar-DDR5-5600-B9KM3EA/dp/B0F4DYTQCB/ref=sr_1_3?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-3,"HP Victus Gaming Dizüstü Bilgisayar, 15,6 inç FHD IPS 144 Hz, AMD Ryzen™ 7 8845HS 5,1 GHz İşlemci, 16 GB DDR5-5600, 1 TB PCIe® NVMe™ M.2 SSD, NVIDIA® GeForce RTX™ 4050 6 GB GDDR6, FreeDos, B9KM3EA",34999.0,15.6,1024.0,m3,16,FreeDOS,rtx4050
https://www.amazon.com.tr/Aspire-Al15-31p-c22x-Celeron-N-4500-Notebook/dp/B0FG7VLDPQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-4,Acer Aspire Lite Al15-31p-c22x Intel Celeron N-4500 8GB RAM 256 SSD UMA 15.6'' FHD W11 Notebook,8237.0,15.6,,celeron,8,Windows 11,integrated
https://www.amazon.com.tr/Lenovo-IdeaPad-i5-13420H-FreeDOS-83K1004ETR/dp/B0F8J9JT9D/ref=sr_1_5?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-5,"Lenovo IdeaPad Slim 3 i5-13420H, 8GB RAM, 512GB SSD, 15.3"" WUXGA, FreeDOS Laptop, 83K1004ETR",16999.0,15.3,512.0,i5,8,FreeDOS,integrated
https://www.amazon.com.tr/ASUS-Vivobook-X1502VA-NJ869-Bilgisayar%C4%B1-i5-13420H/dp/B0DXQ35H1M/ref=sr_1_6?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-6,"ASUS Vivobook 15 X1502VA-NJ869 Dizüstü Bilgisayarı, Intel Core i5-13420H İşlemci, 8 GB DDR4 SDRAM, 512 GB M.2 NVMe SSD, Intel® HD Grafik Kartı, 15.6 inç Full HD Ekran, Free Dos",15899.0,15.6,512.0,i5,8,FreeDOS,integrated
https://www.amazon.com.tr/ASUS-FA507NUR-LP167-Diz%C3%BCst%C3%BC-Bilgisayar%C4%B1-Processor/dp/B0F5JRR7YS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-8,"ASUS TUF Gaming A15 FA507NUR-LP167 Dizüstü Bilgisayarı, AMD Ryzen™ 7 7435HS Mobile Processor 3.1GHz İşlemci, 16 GB DDR5, 512 GB M.2 SSD, NVIDIA GeForce RTX 4050 6GB GDDR6, 15.6"" FHD, Free Dos",35900.0,15.6,512.0,ryzen 7,16,FreeDOS,rtx4050
https://www.amazon.com.tr/AL14-31P-C452-Ta%C5%9F%C4%B1nabilir-Bilgisayar-Notebook-NX-KS8EY-001/dp/B0DT9MYNYN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-9,Acer Aspire Lite AL14-31P-C452 Intel N100 8 GB 256 GB SSD 14'' IPS WUXGA Taşınabilir Bilgisayar FreeDos Notebook NX.KS8EY.001,8999.0,15.6,256.0,celeron,8,FreeDOS,integrated
https://www.amazon.com.tr/Matebook-Diz%C3%BCst%C3%BC-Bilgisayar-i5-13420H-Graphics/dp/B0CSDQQRWQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-11,"Huawei Matebook D16 Dizüstü Bilgisayar, 16"" FHD, Intel Core i5-13420H, 16GB RAM, 1TB SSD, Intel UHD Graphics, Windows 11 Home",27299.0,16.0,1024.0,i5,16,Windows 11,intel uhd
https://www.amazon.com.tr/Sf314-43-R09W-Ryzen7-Radeon-Notebook-NX-AB1EY-00C/dp/B0DSLJ627B/ref=sr_1_13?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-13,Acer Swift 3 Sf314-43-R09W AMD Ryzen7 5700U 16GB 512GB SSD AMD Radeon Dos 14'' FHD 60 Hz Gümüş Notebook NX.AB1EY.00C,17199.0,15.6,512.0,ryzen 7,8,Windows 11,integrated
https://www.amazon.com.tr/Lenovo-Thinkbook-21KK000WTR-FreeDOS-Notebook/dp/B0DHXLSWWS/ref=sr_1_15?dib=eyJ2IjoiMSJ9.bWePvi0tm_rT30TlA-0ySJGYd5KxJFvi8ya8yLbxmemVV1UPIMVTBxOOQqE8iLQkfDsW0VTI6Qq-Hvbq6IYoeL1g2q8SEwrNa9jRHV6g5OF6R16hDRX4NKxJFTclgxZ7RbKxxUUWzeOYOBwBGdvVIZJaWt4MO8tuq5MUJWrBnURGAExeK2siPIc3jKNh3KXZ2bQpReOGRIUVWTCY4WRrPu0o6y1fJsR5Azo0sYI0Q-Lv86MT-gZPNPNULW6nbSb9aRJWFJlMdv6MNszf26upINRm-pTFtHJgRIv2edRwauo.0vHYML87dxxBxERVjuJx3_k790dJQoZt69v-Uz3E9aA&dib_tag=se&keywords=laptop&qid=1754343386&sr=8-15,"Lenovo Thinkbook 16 G6 ABP 21KK000WTR Ryzen 7 7730U 16GB 512GB SSD 16.0"" Wuxga FreeDOS Notebook",22999.0,16.0,512.0,ryzen 7,8,FreeDOS,integrated
