url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.incehesap.com/msi-nb-stealth-ai-a2hwfg-062tr-gaming-notebook-fiyati-82468/,MSI  NB Stealth 16 AI A2HWFG-062TR Intel Core Ultra 9 285H 32GB DDR5 1TB SSD 8GB RTX5060 GDDR7 16″ QHD+ OLED 240Hz W11 Gaming Notebook,106999,16.0,1024,ultra 9,32,Windows 11,rtx5060
https://www.incehesap.com/hp-elitebook-860-g9-5p737ea-i5-1235u-8-gb-256-gb-ssd-iris-xe-graphics-16-full-hd-notebook-fiyati-78503/,HP  Elitebook 860 G9 5P737EA i5-1235U 8 GB 256 GB SSD Iris Xe Graphics 16″ Full HD Notebook,44419,16.0,256,i5,32,Windows 11,iris xe
https://www.incehesap.com/asus-tuf-gaming-f16-fx607vu-rl001-intel-core-ultra-5-210h-8gb-ddr5-512gb-ssd-6gb-rtx-4050-140w-freedos-16-fhd-144hz-gaming-oyuncu-notebook-fiyati-78673/,ASUS  TUF Gaming F16 FX607VU-RL001 Intel Core Ultra 5 210H 8GB DDR5 512GB SSD 6GB RTX 4050 140W FreeDOS 16″ FHD+ 144Hz Gaming (Oyuncu) Notebook,47839,16.0,512,ultra 5,32,Windows 11,rtx4050
https://www.incehesap.com/dell-vostro-3530-n3404pvnb3530u-i5-1334u-16-gb-512-gb-ssd-iris-xe-graphics-15-6-full-hd-notebook-fiyati-78025/,Dell  Vostro 3530 N3404PVNB3530U i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6″ Full HD Notebook,18699,15.6,512,i5,32,Windows 11,iris xe
https://www.incehesap.com/hp-9g1f9et-255-g10-ih1-r7-7730u-16gb-2tb-ssd-freedos-15-6-fhd-notebook-fiyati-80320/,HP  9G1F9ET 255 G10 IH1 R7-7730U 16GB 2TB SSD Freedos 15.6″ FHD Notebook,23089,15.6,2048,ryzen 7,32,Windows 11,rtx4050
https://www.incehesap.com/hp-elitebook-845-g9-5z5r4ea-ryzen-5-6600u-8-gb-512-gb-ssd-radeon-graphics-660m-14-wuxga-notebook-fiyati-78501/,HP  EliteBook 845 G9 5Z5R4EA Ryzen 5 6600U 8 GB 512 GB SSD Radeon Graphics 660M 14″ WUXGA Notebook,48999,14.0,512,ryzen 5,32,Windows 11,amd radeon
https://www.incehesap.com/msi-vector-16-hx-ai-a2xwig-090xtr-intel-core-ultra-9-275hx-16gb-ddr5-1tb-ssd-16gb-rtx5080-gddr7-16-2k-qhd-freedos-gaming-oyuncu-notebook-fiyati-82364/,MSI  Vector 16 HX AI A2XWIG-090XTR Intel Core Ultra 9 275HX 16GB DDR5 1TB SSD 16GB RTX5080 GDDR7 16″ 2K QHD+ FreeDOS Gaming (Oyuncu) Notebook,127499,16.0,1024,ultra 9,32,Windows 11,rtx5080
https://www.incehesap.com/lenovo-e14-thinkpad-21m7008vtx-u7-155h-16gb-512gb-ssd-14-w11pro-fiyati-80584/,LENOVO  E14 THINKPAD 21M7008VTX U7-155H 16GB 512GB SSD 14″ W11PRO,43899,14.0,512,ultra 7,32,Windows 11,rtx4050
https://www.incehesap.com/msi-katana-17-hx-b14wfk-216xtr-i7-14650hx-32gb-ddr5-rtx5060-gddr7-8gb-1tb-ssd-17-3-qhd-240hz-dos-notebook-fiyati-82165/,MSI  Katana 17 HX B14WFK-216XTR i7-14650HX 32GB DDR5 RTX5060 GDDR7 8GB 1TB SSD 17.3 QHD 240Hz DOS Gaming (Oyuncu) Notebook,78599,17.3,1024,i7,32,Windows 11,rtx5060
https://www.incehesap.com/hp-probook-445-g10-816q3ea-ryzen-5-7530u-16-gb-512-gb-ssd-radeon-graphics-14-full-hd-notebook-fiyati-79009/,HP  ProBook 445 G10 816Q3EA Ryzen 5 7530U 16 GB 512 GB SSD Radeon Graphics 14″ Full HD Notebook,30219,14.0,512,ryzen 5,32,Windows 11,amd radeon
