url,name,price,screen_size,ssd,cpu,ram,os,gpu
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-13-nesil-core-i5-13420h-8gb-512gb-ssd-16inc-w11.html,Lenovo Ideapad Slim 3 13.Nesil Core i5 13420H-8Gb-512Gb Ssd-16inc-W11,20999,16.0,512,i5,256.0,Windows 11,integrated
https://www.vatanbilgisayar.com/asus-vivobook-15-13-nesil-core-i5-13420h-8gb-512gb-ssd-15-6inc-w11-152380.html,Asus Vivobook 15 13.Nesil Core i5 13420H-8Gb-512Gb Ssd-15.6inc-W11,17952,15.6,512,i5,256.0,Windows 11,integrated
https://www.vatanbilgisayar.com/casper-nirvana-s100-13-nesil-core-i5-13420h-16gb-500gb-ssd-16inc-w11.html,Casper Nirvana S100 13.Nesil Core i5 13420H-16Gb-500Gb Ssd-16inc-W11,22999,16.0,500,i5,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/macbook-air-mc7x4tu-a-m2-16gb-256gb-ssd-liquid-retina-13-6inc-gece-yarisi.html,MacBook Air MC7X4TU/A M2 16Gb-256Gb Ssd-Liquid Retina-13.6inc-Gece Yarısı,32999,13.6,256,m2,512.0,macOS,apple integrated
https://www.vatanbilgisayar.com/asus-e510ma-celeron-n4500-4gb-128gb-ssd-15-6inc-w11.html,Asus E510MA Celeron N4500-4Gb-128Gb Emmc-15.6inc-W11,7999,15.6,128,celeron,128.0,Windows 11,integrated
https://www.vatanbilgisayar.com/asus-vivobook-go-15-7-nesil-ryzen-5-7520u-8gb-512gb-ssd-15-6inc-w11.html,Asus Vivobook Go 15 7.Nesil Ryzen 5 7520U-8Gb-512Gb Ssd-15.6inc-W11,13999,15.6,512,ryzen 5,256.0,Windows 11,integrated
https://www.vatanbilgisayar.com/asus-tuf-gaming-f15-12-nesil-core-i7-12700h-rtx3050-4gb-16gb-512gb-ssd-15-6-w11.html,Asus Tuf Gaming F15 12.Nesil Core i7 12700H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6-W11,38332,15.6,512,i7,128.0,Windows 11,rtx3050
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-13-nesil-core-i5-13420h-16gb-512gb-ssd-16inc-w11-151767.html,Lenovo Ideapad Slim 3 13.Nesil Core i5 13420H-16Gb-512Gb Ssd-16inc-W11,24999,16.0,512,i5,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/huawei-matebook-14-core-ultra-5-16gb-512gb-ssd-14inc-w11.html,Huawei Matebook 14 Core Ultra 5 125H-16Gb-512Gb Ssd-14inc-W11,38499,14.0,512,ultra 5,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/hp-15-fd0041nt-13-nesil-core-i5-1334u-8gb-512gb-ssd-15-6inc-w11.html,Hp 15-fd0041nt 13.Nesil Core i5 1334U-8Gb-512Gb Ssd-15.6inc-W11,19699,15.6,512,i5,256.0,Windows 11,integrated
https://www.vatanbilgisayar.com/hp-victus-15-fa1084nt-13-nesil-core-i7-13620h-rtx4060-8gb-16gb-512gb-15-6inc-w11.html,Hp Victus 15-fa1084nt 13.Nesil Core i7 13620H-RTX4060 8Gb-16Gb-512Gb-15.6inc-W11,47999,15.6,256,i7,256.0,Windows 11,rtx4060
https://www.vatanbilgisayar.com/asus-tuf-gaming-a15-7-nesil-ryzen-5-7535hs-rtx4060-8gb-16gb-512gb-ssd-15-6inc-w1.html,Asus Tuf Gaming A15 7.Nesil Ryzen 5 7535HS-RTX4060 8Gb-16Gb-512Gb Ssd-15.6inc-W1,49079,15.6,512,ryzen 5,256.0,,rtx4060
https://www.vatanbilgisayar.com/dell-inspiron-15-3530-13-nesil-core-i5-1334u-16gb-512gb-ssd-15-6inc-w11.html,Dell Inspiron 15 3530 13.Nesil Core i5 1334U-16Gb-512Gb Ssd-15.6inc-W11,27072,15.6,512,i5,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/msi-thin-15-13-nesil-core-i5-13420h-rtx4050-6gb-16gb-512gb-ssd-15-6inc-w11.html,Msi Thin 15 13.Nesil Core i5 13420H-RTX4050 6Gb-16Gb-512Gb Ssd-15.6inc-W11,33999,15.6,512,i5,192.0,Windows 11,rtx4050
https://www.vatanbilgisayar.com/macbook-air-mc7w4tu-a-m2-16gb-256gb-ssd-liquid-retina-13-6inc-yildiz-isigi.html,MacBook Air MC7W4TU/A M2 16Gb-256Gb Ssd-Liquid Retina-13.6inc-Yıldız Işığı,32999,13.6,256,m2,512.0,macOS,apple integrated
https://www.vatanbilgisayar.com/msi-thin-15-13-nesil-core-i5-13420h-rtx3050-4gb-16gb-512gb-ssd-15-6inc-w11.html,Msi Thin 15 13.Nesil Core i5 13420H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W11,31999,15.6,512,i5,128.0,Windows 11,rtx3050
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-intel-n100-4gb-128gb-ufs-15-6inc-w11.html,Lenovo Ideapad Slim 3 Intel N100-4Gb-128Gb Ufs-15.6inc-W11,8999,15.6,128,unknown,128.0,Windows 11,integrated
https://www.vatanbilgisayar.com/huawei-matebook-d16-12-nesil-core-i5-12450h-8gb-512gb-ssd-16inc-w11-142885.html,Huawei Matebook D16 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-16inc-W11,21999,16.0,512,i5,256.0,Windows 11,integrated
https://www.vatanbilgisayar.com/msi-cyborg-15-13-nesil-core-i5-13420h-rtx4060-8gb-16gb-512gb-ssd-15-6inc-w11-144764.html,Msi Cyborg 15 13.Nesil Core i7 13620H-RTX4060 8GB-16GB-512Gb Ssd-15.6inc-W11,50999,15.6,512,i7,256.0,Windows 11,rtx4060
https://www.vatanbilgisayar.com/casper-excalibur-13-nesil-core-i5-13420h-rtx4060-8gb-16gb-1tb-ssd-15-6inc-w11.html,Casper Excalibur 13.Nesil Core i5 13420H-RTX4060 8Gb-16Gb-1Tb Ssd-15.6inc-W11,45999,15.6,1024,i5,256.0,Windows 11,rtx4060
https://www.vatanbilgisayar.com/casper-nirvana-s100-13-nesil-core-i7-13620h-32gb-1tb-ssd-16inc-w11.html,Casper Nirvana S100 13.Nesil Core i7 13620H-16Gb-1Tb Ssd-16inc-W11,32999,16.0,1024,i7,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-13-nesil-core-i7-13620h-16gb-512gb-ssd-15-3inc-w11.html,Lenovo Ideapad Slim 3 13.Nesil Core i7 13620H-16Gb-512Gb Ssd-15.3inc-W11,34999,15.3,512,i7,512.0,Windows 11,integrated
https://www.vatanbilgisayar.com/acer-aspire-lite-12-nesil-core-i5-12450h-16gb-512gb-ssd-15-6inc-w11.html,Acer Aspire Lite 12.Nesil Core i5 12450H-16Gb-512Gb Ssd-15.6inc-W11,31104,15.6,512,i5,512.0,Windows 11,integrated
